image_path,source,breed_raw,annotation_path,is_corrupt,width,height,mode,aspect_ratio,file_hash,phash,breed_harmonized,resized_path,mean_brightness,mean_r,mean_g,mean_b,filesize_bytes,brightness_outlier,breed_group
C:\Users\alyss\data\archive (1)\images\Images\n02085620-Chihuahua\n02085620_10074.jpg,stanford_dogs,n02085620-Chihuahua,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02085620-Chihuahua\n02085620_10074,False,333,500,RGB,0.666,b4c224cd6a73884030d3685a5a764f80,cd85ff02e03f4172,Chihuahua,./data/_resized_224\0.jpg,78.76159,89.01485,79.36399,67.905914,27034,False,other
C:\Users\alyss\data\archive (1)\images\Images\n02085620-Chihuahua\n02085620_10131.jpg,stanford_dogs,n02085620-Chihuahua,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02085620-Chihuahua\n02085620_10131,False,395,495,RGB,0.797979797979798,4106630caecfade844bcbf461b68c788,cd9de9c363f1a050,Chihuahua,./data/_resized_224\1.jpg,55.976624,71.83492,53.69138,42.40355,34458,False,other
C:\Users\alyss\data\archive (1)\images\Images\n02085620-Chihuahua\n02085620_10621.jpg,stanford_dogs,n02085620-Chihuahua,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02085620-Chihuahua\n02085620_10621,False,500,298,RGB,1.6778523489932886,92b318f04b629401cfa8500ee7107ccf,9aa5d8a60d497cb3,Chihuahua,./data/_resized_224\2.jpg,137.9467,142.80948,142.05408,128.97653,12883,False,other
C:\Users\alyss\data\archive (1)\images\Images\n02085620-Chihuahua\n02085620_1073.jpg,stanford_dogs,n02085620-Chihuahua,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02085620-Chihuahua\n02085620_1073,False,345,500,RGB,0.69,05704fbdccb224cb01c59005bebbad28,c09e13e4ed6c2373,Chihuahua,./data/_resized_224\3.jpg,110.241936,120.648705,112.16264,97.91444,34910,False,other
C:\Users\alyss\data\archive (1)\images\Images\n02085620-Chihuahua\n02085620_10976.jpg,stanford_dogs,n02085620-Chihuahua,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02085620-Chihuahua\n02085620_10976,False,322,484,RGB,0.6652892561983471,e4c52224909803ead2a5361337257b83,8e09e9e84c66575b,Chihuahua,./data/_resized_224\4.jpg,117.05205,152.27335,113.57872,85.30409,18124,False,other
C:\Users\alyss\data\archive (1)\images\Images\n02085620-Chihuahua\n02085620_11140.jpg,stanford_dogs,n02085620-Chihuahua,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02085620-Chihuahua\n02085620_11140,False,500,375,RGB,1.3333333333333333,e3a85d806dc6f384952638dd3a7872a3,d62f696b1a1b6434,Chihuahua,./data/_resized_224\5.jpg,107.13928,133.06654,103.356224,84.99511,38206,False,other
C:\Users\alyss\data\archive (1)\images\Images\n02085620-Chihuahua\n02085620_11238.jpg,stanford_dogs,n02085620-Chihuahua,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02085620-Chihuahua\n02085620_11238,False,382,384,RGB,0.9947916666666666,676a5f76d0cef32761e85c496b6f1562,fae3a608c3a76c4a,Chihuahua,./data/_resized_224\6.jpg,140.29294,136.8752,141.91245,142.09119,24485,False,other
C:\Users\alyss\data\archive (1)\images\Images\n02085620-Chihuahua\n02085620_11258.jpg,stanford_dogs,n02085620-Chihuahua,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02085620-Chihuahua\n02085620_11258,False,375,500,RGB,0.75,8bc3a1ac5a905507631396c25f748741,da18dd733cec0872,Chihuahua,./data/_resized_224\7.jpg,107.79674,148.40976,99.75744,75.223,39421,False,other
C:\Users\alyss\data\archive (1)\images\Images\n02085620-Chihuahua\n02085620_11337.jpg,stanford_dogs,n02085620-Chihuahua,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02085620-Chihuahua\n02085620_11337,False,300,225,RGB,1.3333333333333333,ba91de9f8012923d0208e9c871949505,a8d625fa58736887,Chihuahua,./data/_resized_224\8.jpg,157.57802,167.11188,157.15338,148.4688,9618,False,other
C:\Users\alyss\data\archive (1)\images\Images\n02085620-Chihuahua\n02085620_11477.jpg,stanford_dogs,n02085620-Chihuahua,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02085620-Chihuahua\n02085620_11477,False,887,629,RGB,1.410174880763116,f7119585bf1d4eb2f8a316ae81918ac6,a985621f721b36cd,Chihuahua,./data/_resized_224\9.jpg,135.98935,172.40005,126.33465,109.233376,79772,False,other
C:\Users\alyss\data\archive (1)\images\Images\n02085620-Chihuahua\n02085620_1152.jpg,stanford_dogs,n02085620-Chihuahua,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02085620-Chihuahua\n02085620_1152,False,500,375,RGB,1.3333333333333333,9b7da20244b8758ac3b4550ad8edc2e1,a040ecb613d9fbb2,Chihuahua,./data/_resized_224\10.jpg,121.82562,138.99744,127.06307,99.41636,63325,False,other
C:\Users\alyss\data\archive (1)\images\Images\n02085620-Chihuahua\n02085620_11696.jpg,stanford_dogs,n02085620-Chihuahua,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02085620-Chihuahua\n02085620_11696,False,800,600,RGB,1.3333333333333333,75a36baf50a2c5f688f940a364890ab6,cc2c6633cdd99866,Chihuahua,./data/_resized_224\11.jpg,66.499756,91.92392,60.77265,46.8027,50956,False,other
C:\Users\alyss\data\archive (1)\images\Images\n02085620-Chihuahua\n02085620_11818.jpg,stanford_dogs,n02085620-Chihuahua,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02085620-Chihuahua\n02085620_11818,False,375,500,RGB,0.75,ff192054960482d25e08585b2e2d7d36,cfcd01c1c8baf932,Chihuahua,./data/_resized_224\12.jpg,89.62102,103.47153,86.38223,79.00928,40079,False,other
C:\Users\alyss\data\archive (1)\images\Images\n02085620-Chihuahua\n02085620_11948.jpg,stanford_dogs,n02085620-Chihuahua,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02085620-Chihuahua\n02085620_11948,False,500,464,RGB,1.0775862068965518,22e785de9cd43edadc868e5232f9648a,db642d97c6e3904c,Chihuahua,./data/_resized_224\13.jpg,118.21796,138.59825,121.45009,94.605515,21172,False,other
C:\Users\alyss\data\archive (1)\images\Images\n02085620-Chihuahua\n02085620_1205.jpg,stanford_dogs,n02085620-Chihuahua,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02085620-Chihuahua\n02085620_1205,False,500,375,RGB,1.3333333333333333,a15f0b9b11c06d471e5e3d1c3c041430,c94d27335b9c20ed,Chihuahua,./data/_resized_224\14.jpg,71.308754,66.73072,68.44539,78.75016,29985,False,other
C:\Users\alyss\data\archive (1)\images\Images\n02085620-Chihuahua\n02085620_12101.jpg,stanford_dogs,n02085620-Chihuahua,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02085620-Chihuahua\n02085620_12101,False,380,253,RGB,1.5019762845849802,fa9565c097d688d25aef97ca6636bfbd,9a674e232bd991e4,Chihuahua,./data/_resized_224\15.jpg,81.49112,93.51863,75.462296,75.492424,12724,False,other
C:\Users\alyss\data\archive (1)\images\Images\n02085620-Chihuahua\n02085620_12334.jpg,stanford_dogs,n02085620-Chihuahua,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02085620-Chihuahua\n02085620_12334,False,299,415,RGB,0.7204819277108434,13a4e56010c4617d29556e3c1e5abbe4,b3e9a93234cca5b1,Chihuahua,./data/_resized_224\16.jpg,140.25113,140.32852,149.91338,130.51146,18181,False,other
C:\Users\alyss\data\archive (1)\images\Images\n02085620-Chihuahua\n02085620_1235.jpg,stanford_dogs,n02085620-Chihuahua,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02085620-Chihuahua\n02085620_1235,False,500,375,RGB,1.3333333333333333,06d056cf6af8e2d0492cc2ba353f5743,956a9378cdc2493d,Chihuahua,./data/_resized_224\17.jpg,84.497894,85.2954,87.705025,80.49325,51092,False,other
C:\Users\alyss\data\archive (1)\images\Images\n02085620-Chihuahua\n02085620_1271.jpg,stanford_dogs,n02085620-Chihuahua,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02085620-Chihuahua\n02085620_1271,False,360,351,RGB,1.0256410256410255,a6b3641b6b8943be3ddfe48d1d90a3a6,b974c21f2769cc86,Chihuahua,./data/_resized_224\18.jpg,156.83704,172.42473,156.99829,141.0881,24674,False,other
C:\Users\alyss\data\archive (1)\images\Images\n02085620-Chihuahua\n02085620_12718.jpg,stanford_dogs,n02085620-Chihuahua,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02085620-Chihuahua\n02085620_12718,False,333,500,RGB,0.666,6b51d4a0f86308af93554629525dbad2,f9c487e11ab2651e,Chihuahua,./data/_resized_224\19.jpg,173.42902,174.3917,174.1296,171.7658,17952,False,other
