image_path,source,breed_raw,annotation_path,is_corrupt,width,height,mode,aspect_ratio,file_hash,phash,breed_harmonized,resized_path,mean_brightness,mean_r,mean_g,mean_b,filesize_bytes,brightness_outlier,breed_group,label
C:\Users\alyss\data\archive (1)\images\Images\n02109047-Great_Dane\n02109047_11184.jpg,stanford_dogs,n02109047-Great_Dane,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02109047-Great_Dane\n02109047_11184,False,313,500,RGB,0.626,925ee5bf4fe33283291fe06cf224c342,ea8d8df2c470b343,Great Dane,./data/_resized_224\16124.jpg,123.16992,117.540726,121.57158,130.39745,34474,False,other,50
C:\Users\alyss\data\archive (1)\images\Images\n02107142-Doberman\n02107142_8399.jpg,stanford_dogs,n02107142-Doberman,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02107142-Doberman\n02107142_8399,False,500,357,RGB,1.4005602240896358,3b17710b46d154e95ff19814639dd8a6,b2834f4a3bf1b831,Doberman,./data/_resized_224\14568.jpg,104.73514,108.59228,117.36961,88.243515,50686,False,other,38
C:\Users\alyss\data\archive (1)\images\Images\n02113978-Mexican_hairless\n02113978_2707.jpg,stanford_dogs,n02113978-Mexican_hairless,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02113978-Mexican_hairless\n02113978_2707,False,340,256,RGB,1.328125,b1c8428e3591b17700725d2bc2daf847,d07081279effe41a,Mexican Hairless,./data/_resized_224\19945.jpg,84.91426,91.78343,87.20035,75.758995,17336,False,other,73
C:\Users\alyss\data\archive (1)\images\Images\n02107683-Bernese_mountain_dog\n02107683_5946.jpg,stanford_dogs,n02107683-Bernese_mountain_dog,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02107683-Bernese_mountain_dog\n02107683_5946,False,500,375,RGB,1.3333333333333333,15ff31374999a0cbec17086c499a955d,d85caae94992966d,Bernese Mountain Dog,./data/_resized_224\15111.jpg,97.22214,119.80894,92.2249,79.632576,32838,False,other,11
C:\Users\alyss\data\archive (1)\images\Images\n02099429-curly-coated_retriever\n02099429_411.jpg,stanford_dogs,n02099429-curly-coated_retriever,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02099429-curly-coated_retriever\n02099429_411,False,500,375,RGB,1.3333333333333333,ea1b9c90ab07ca19496186e10bc0d6de,d9e60e0d99f2f2c0,Curly-Coated Retriever,./data/_resized_224\9938.jpg,54.125748,56.351936,50.82126,55.204037,26761,False,other,34
C:\Users\alyss\data\archive (1)\images\Images\n02085782-Japanese_spaniel\n02085782_2762.jpg,stanford_dogs,n02085782-Japanese_spaniel,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02085782-Japanese_spaniel\n02085782_2762,False,331,342,RGB,0.9678362573099416,f78e2fa582d9f83e3ff63cb99e474432,d4d26ecc8323397a,Japanese Spaniel,./data/_resized_224\234.jpg,144.92972,137.59576,135.28787,161.90552,16166,False,other,60
C:\Users\alyss\data\archive (1)\images\Images\n02092002-Scottish_deerhound\n02092002_1693.jpg,stanford_dogs,n02092002-Scottish_deerhound,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02092002-Scottish_deerhound\n02092002_1693,False,333,500,RGB,0.666,50a5536f1111c977fc95be4ec371790e,95db406321b1774f,Scottish Deerhound,./data/_resized_224\4788.jpg,116.59116,120.30634,121.909584,107.55756,31099,False,other,95
C:\Users\alyss\data\archive (1)\images\Images\n02107312-miniature_pinscher\n02107312_1842.jpg,stanford_dogs,n02107312-miniature_pinscher,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02107312-miniature_pinscher\n02107312_1842,False,500,375,RGB,1.3333333333333333,3759dff68c5e8abde202aae9d4cff406,f8b9c6c7a34992c4,Miniature Pinscher,./data/_resized_224\14595.jpg,139.86322,155.8569,141.59735,122.13542,48575,False,other,74
C:\Users\alyss\data\archive (1)\images\Images\n02085620-Chihuahua\n02085620_4572.jpg,stanford_dogs,n02085620-Chihuahua,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02085620-Chihuahua\n02085620_4572,False,500,405,RGB,1.2345679012345678,42b5c03bcd7cb96ffa8e8ac43229d4bb,c62dfc7aa3c89c88,Chihuahua,./data/_resized_224\100.jpg,87.06719,89.92006,84.17769,87.103806,24065,False,other,28
C:\Users\alyss\data\archive (1)\images\Images\n02110627-affenpinscher\n02110627_4433.jpg,stanford_dogs,n02110627-affenpinscher,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02110627-affenpinscher\n02110627_4433,False,500,533,RGB,0.9380863039399624,1dc0014c96ea157b01837ef05c7de409,efe8c02585e78fc0,Affenpinscher,./data/_resized_224\17066.jpg,126.49235,124.63795,127.58301,127.2561,38781,False,other,0
