category,field,value
model,final_model_name,MobileNetV2 (fully unfrozen fine-tune)
model,base_checkpoint,google/mobilenet_v2_1.0_224
model,source,Hugging Face Model Hub
model,num_classes,115
model,total_params,2371187
model,trainable_params,2371187
model,trainable_params_pct,100.0
hyperparameters,num_train_epochs,3
hyperparameters,per_device_train_batch_size,32
hyperparameters,per_device_eval_batch_size,32
hyperparameters,learning_rate,2e-5
hyperparameters,optimizer,AdamW (Hugging Face Trainer default)
hyperparameters,image_size,224x224
hyperparameters,normalization,MobileNetV2 AutoImageProcessor defaults
data,train_rows,14340
data,val_rows,3073
data,test_rows,3073
data,realworld_eval_rows,1604
data,realworld_eval_breeds_represented,61 of 115
metrics,baseline_stanford_top1,0.0114
metrics,baseline_petfinder_top1,0.0106
metrics,model_a_frozen_stanford_top1,0.2330
metrics,model_a_frozen_stanford_top5,0.5597
metrics,model_a_frozen_stanford_macro_f1,0.1924
metrics,model_a_frozen_petfinder_top1,0.1403
metrics,model_a_frozen_petfinder_macro_f1,0.0364
metrics,model_b_partial_unfreeze_stanford_top1,0.3283
metrics,model_b_partial_unfreeze_stanford_top5,0.6961
metrics,model_b_partial_unfreeze_stanford_macro_f1,0.2948
metrics,model_b_partial_unfreeze_petfinder_top1,0.1690
metrics,model_b_partial_unfreeze_petfinder_macro_f1,0.0396
metrics,model_c_final_stanford_top1,0.3622
metrics,model_c_final_stanford_top5,0.7377
metrics,model_c_final_stanford_macro_f1,0.3395
metrics,model_c_final_petfinder_top1,0.1895
metrics,model_c_final_petfinder_macro_f1,0.0476
criteria,target_stanford_top1,0.70
criteria,target_stanford_top5,0.90
criteria,target_met,No -- closest on top-5 (73.8% vs 90% target)
